,conf,i,j
0,3,708,711
1,3,2592,2597
2,3,7491,7530
3,3,1220,1235
4,3,1782,1791
5,3,6190,6197
6,3,6190,6193
7,3,428,431
8,3,2227,2229
9,3,2227,2228
10,3,6558,6607
11,3,5430,5462
12,3,488,491
13,3,2597,2612
14,3,1221,1235
15,3,5436,5473
16,3,5430,5473
17,3,6323,6348
18,3,5784,5883
19,3,4626,4648
20,3,491,505
21,3,5784,5804
22,3,5784,5914
23,3,3831,3845
24,3,5784,5888
25,3,5784,5895
26,3,5784,5915
27,3,4854,4861
28,3,5784,5801
29,3,5784,5935
30,3,5784,5931
31,3,9682,9683
32,3,5784,5919
33,3,5784,5800
34,3,5784,5805
35,3,5784,5806
36,3,690,691
37,3,5784,5860
38,3,8170,8188
39,3,8134,8145
40,3,4624,4648
41,3,5784,5884
42,3,5784,5881
43,3,4868,4873
44,3,5784,5877
45,3,5784,5901
46,3,5784,5878
47,3,5784,5887
48,3,5784,5866
49,3,5784,5874
50,3,5784,5950
51,3,5784,5879
52,3,5784,5899
53,3,5784,5812
54,3,5784,5885
55,3,5784,5871
56,3,5784,5889
57,3,3047,3060
58,3,5784,5891
59,3,5784,5809
60,3,5784,5886
61,3,1322,1350
62,3,5784,5892
63,3,5784,5904
64,3,5784,5912
65,3,4603,4624
66,3,690,708
67,3,6052,6062
68,3,5784,5869
69,3,5784,5907
70,3,4665,4673
71,3,3047,3062
72,3,5784,5876
73,3,5784,5937
74,3,5784,5811
75,3,5784,5873
76,3,5784,5929
77,3,5784,5913
78,3,5784,5875
79,3,5784,5868
80,3,5784,5865
81,3,5784,5880
82,3,5784,5952
83,3,1432,1433
84,3,5784,5934
85,3,5784,5918
86,3,5784,5890
87,3,5784,5894
88,3,5784,5870
89,3,5784,5957
90,3,5784,5906
91,3,5784,5905
92,3,5784,5941
93,3,7765,7836
94,3,5784,5910
95,3,5784,5826
96,3,9817,9819
97,3,4603,4626
98,3,4648,4670
99,3,1451,1453
100,3,5784,5942
101,3,5220,5241
102,3,8225,8256
103,3,5784,5842
104,3,5784,5841
105,3,5784,5944
106,3,4861,4864
107,3,5784,5933
108,3,5600,5612
109,3,5784,5936
110,3,5784,5948
111,3,5784,5839
112,3,5784,5900
113,3,5784,5930
114,3,5784,5943
115,3,2386,2408
116,3,5784,5835
117,3,8717,8726
118,3,3896,3898
119,3,5784,5940
120,3,5784,5903
121,3,5784,5898
122,3,5784,5897
123,3,5784,5864
124,3,7762,7836
125,3,5784,5827
126,3,5784,5882
127,3,5784,5946
128,3,5784,5831
129,3,5784,5872
130,3,5784,5951
131,3,5784,5846
132,3,4648,4673
133,3,6148,6190
134,3,5784,5862
135,3,5784,5833
136,3,5784,5823
137,3,5784,5814
138,3,5784,5925
139,3,5784,5926
140,3,5784,5825
141,3,5784,5861
142,3,5784,5902
143,3,5784,5821
144,3,5784,5927
145,3,5784,5896
146,3,1433,1434
147,3,691,711
148,3,6414,6425
149,3,9681,9689
150,3,4868,4887
151,3,8189,8240
152,3,6268,6302
153,3,5784,5920
154,3,5784,5819
155,3,5784,5834
156,3,3898,3900
157,3,6197,6254
158,3,5784,5924
159,3,5220,5248
160,3,6383,6394
161,3,9358,9359
162,3,5784,5836
163,3,851,857
164,3,5784,5828
165,3,1223,1251
166,3,1224,1251
167,3,7419,7436
168,3,5784,5837
169,3,1503,1507
170,3,5784,5838
171,3,838,857
172,3,851,856
173,3,2484,2504
174,3,5784,5815
175,3,5784,5818
176,3,5368,5377
177,3,5784,5848
178,4,1275,1276
179,4,2428,2439
180,4,2285,2296
181,4,631,638
182,4,623,640
183,4,1007,1019
184,4,1572,1575
185,4,724,734
186,4,1469,1494
187,4,1402,1404
188,4,701,715
189,4,1563,1565
190,4,1572,1576
191,4,674,678
192,4,1566,1580
193,4,673,678
194,4,672,678
195,4,1007,1021
196,4,200,204
197,4,1494,1503
198,4,1425,1430
199,4,1426,1430
200,4,1563,1575
201,4,1430,1443
202,4,1269,1275
203,4,1087,1096
204,4,1269,1271
205,4,437,440
206,4,2066,2103
207,4,2290,2292
208,4,1565,1572
209,4,2115,2117
210,4,1276,1282
211,4,2263,2268
212,4,1162,1167
213,4,1274,1276
214,4,1678,1707
215,4,2261,2268
216,4,2258,2263
217,4,1705,1707
218,4,1711,1713
219,4,1563,1576
220,4,2153,2160
221,4,2189,2194
222,4,2115,2136
223,4,276,281
224,4,2051,2068
225,4,2051,2067
226,4,734,737
227,4,2197,2204
228,4,2404,2410
229,4,2274,2304
230,4,2204,2220
231,4,2204,2221
232,4,2204,2218
233,4,2275,2304
234,4,1550,1572
235,4,2244,2261
236,4,1269,1285
237,4,2403,2410
238,4,2085,2112
239,4,2112,2117
240,4,2135,2155
241,4,2115,2137
242,4,2189,2197
243,4,1707,1711
244,4,1546,1563
245,4,2141,2153
246,4,1399,1404
247,4,3715,3718
248,4,2194,2204
