,conf,i,j,out
0,3,5921,5932,0.006271581387530
1,3,4315,4316,0.000695616439565
2,3,3828,3845,0.005250331498710
3,3,5366,5368,0.000437355234824
4,3,5167,5168,0.000405606407488
5,3,3678,3679,0.003153276124210
6,3,2746,2748,0.000086680834458
7,3,8095,8099,0.000501877841613
8,3,577,583,0.000841543538560
9,3,2168,2173,0.001295714140970
10,3,2224,2227,0.000883815256125
11,3,8208,8229,0.001751799566270
12,3,1322,1339,0.000448391194979
13,3,3947,3950,0.000838285283730
14,3,4658,4673,0.000331464089108
15,3,6271,6302,0.002685557936860
16,3,8225,8232,0.000887823524491
17,3,1653,1655,0.000106164387695
18,3,4663,4670,0.001244289616830
19,3,8879,8887,0.000923602091480
20,3,4624,4642,0.002183689540800
21,3,1184,1203,0.000611893943066
22,3,5207,5241,0.001997387025470
23,3,4234,4241,0.000865156337037
24,3,6111,6133,0.002286140989150
25,3,8193,8224,0.001003289102320
26,3,6166,6185,0.000412394337643
27,3,8113,8145,0.002482391562030
28,3,4843,4854,0.001066093248620
29,3,6383,6395,0.000063060265486
30,3,8721,8732,0.000203323357686
31,3,4898,4911,0.001200829178760
32,3,1624,1634,0.000635996224913
33,4,4126,4127,0.002676978845420
34,4,2772,2788,0.000181349144490
35,4,2614,2627,0.000741925862597
36,4,237,239,0.000159210703986
37,4,2746,2758,0.002410656080070
38,4,1163,1167,0.002461402114050
39,4,4179,4180,0.000873499657108
40,4,4275,4276,0.002511788423790
41,4,1186,1187,0.000370988083299
42,4,536,543,0.000128257306562
43,4,1062,1074,0.000223689723911
44,4,1175,1176,0.000834689481888
45,4,263,268,0.000763796362355
46,4,238,244,0.001487525433960
47,4,210,212,0.000642297333434
48,4,2785,2799,0.002844367505970
49,6,6439,6440,0.000072342603908
50,6,284,285,0.001460228612420
51,6,284,286,0.001461807704420
52,6,1525,1526,0.002942575222440
53,6,7050,7059,0.000052092891918
54,6,3777,3784,0.000742526402525
55,6,11016,11018,0.002239205322280
56,6,4464,4472,0.001735213239610
57,6,55,56,0.000166550669119
58,6,7946,7957,0.000031127621589
59,6,3879,3895,0.000337511390649
60,6,343,345,0.002782757364990
61,6,274,278,0.002320899286080
62,6,6098,6109,0.001632765934060
63,6,67,68,0.000260705560849
64,6,2375,2382,0.002205887239120
65,6,10808,10810,0.000846972419565
66,6,3898,3906,0.000909842918012
67,6,5741,5758,0.000917313196012
68,6,368,372,0.000565616624528
69,6,1022,1029,0.003380432801220
70,6,1178,1184,0.002034353962980
71,6,150,153,0.000416938204871
72,6,182,185,0.000429740298082
